Name,Latitude,Longitude,sub-categories,CopunID
Temple Newsham House,53.78434008,-1.459725976,"Drapery, window covering, and upholstery",152
The Green Home for Older People,53.81961898,-1.460222335,Exterminating and disinfecting services,153
Leeds City Council Fleet Services,53.79947442,-1.510948539,"Fireplace, and fireplace screens",154
Tribeca House,53.81019101,-1.528548479,Furniture,155
Vale Circles,53.7759859,-1.543244958,Garden supplies,156
Westfield Chambers,53.78388613,-1.598433018,"Glass, paint, and wallpaper",157
Woodsley Green Skills Centre,53.80744189,-1.56672895,Hardware and tools,158
Suffolk Court Yeadon Extra Care,53.86658244,-1.683818689,Home decor,159
Beeston Road Adult Social Care,53.78098315,-1.553115964,Housewares,160
Holbeck and City Childrens Centre,53.78137606,-1.547222972,Kitchenware,161
Hunslet Hall,53.78184527,-1.547688961,Landscaping,162
Hunslet Childrens Centre,53.77736941,-1.529058439,Rugs and carpets,163
Calverlands Day Centre,53.84069579,-1.640251746,Security and surveillance equipment,164
Assisted Living Leeds,53.78950753,-1.530461108,Swimming pools and spas,165
Knowsthorpe Gate,53.78482256,-1.501115352,Charity,166
Cross Heath Grove IL,53.7713,-1.5749,Political,167
Easdale Childrens Home,53.81927877,-1.470190788,Religious,168
Inner East Cluster Family Resource Centre,53.80165545,-1.52768626,Other,169
Enterprise House,53.7981437,-1.550734605,Personal,170
Farfield Drive Independent Living Centre,53.8106,-1.6788,Educational,171
West Leeds Contact Centre,53.82272405,-1.593677382,Medication and supplements,172
Frederick Hurdle Day Centre,53.816994,-1.532117,"Pet shops, pet food, and supplies",173
West Leeds Family Resource Centre,53.81806023,-1.630574118,Specialty or rare pets,174
Mears Office-Great Eastern House,53.7717,-1.5171,Veterinary services,175
Hawksworth Wood community Association,53.8287,-1.616,Membership services,176
Henshaw Lane Bin Depot,53.85859136,-1.686739769,Merchandise,177
Killingbeck Court,53.81270236,-1.46924901,Personal,178
Lanshaw Childrens Home,53.7512247,-1.529682994,Chemicals and allied products,179
Lazer Childrens Centre,53.81066912,-1.606621027,Department store,180
Lingfield Childrens Home,53.84892408,-1.547254762,Discount store,181
Little London Childrens Centre,53.80882523,-1.540025711,Durable goods,182
Lovell Park Hub,53.80570239,-1.53671205,Non-durable goods,183
Meanwood Children's Centre,53.82439059,-1.547124028,Used and secondhand store,184
Middleton Under 3 Children Centre,53.7410816,-1.548136247,Variety store,185
Laurel Bank Day Centre,53.74064694,-1.54783584,Shopping services and buying clubs,186
Middleton Health Centre,53.7430231,-1.546650052,Career services,187
Millshaw,53.76634616,-1.578377962,Carpentry,188
Museum Discovery Centre,53.78874202,-1.530914254,Child care services,189
New Bewerley Children's Centre,53.77996706,-1.546842166,Cleaning and maintenance,190
Nowell Mount,53.80256751,-1.506956966,Commercial photography,191
Osmondthorpe Resource Centre,53.7998107,-1.498482138,Computer and data processing services,192
Pinfolds Childrens Centre,53.7999,-1.4659,Computer network services,193
Potternewton Childrens Centre,53.82438021,-1.5471,Consulting services,194
Rainbow House Children's Centre,53.81255887,-1.617056038,Courier services,195
Ireland Wood Childrens Centre,53.85198565,-1.604666472,Dental care,196
The Reginald Centre,53.817709,-1.5317,eCommerce services,197
Richmond Hill NHO,53.79442603,-1.523034518,Electrical and small appliance repair,198
Richmond House Care Home,53.80867721,-1.678724898,Entertainment,199
Rothwell Fulfilling Lives Home for Older People,53.75605669,-1.461077145,Equipment rental and leasing services,200
Rutland Lodge,53.82466071,-1.539861197,Event and wedding planning,201
SEC Swillington,53.7628,-1.4149,General contractors,202
SKiLs- Lingfield Childrens Centre,53.8491534,-1.544402682,Graphic and commercial design,203
South Leeds Independent Centre,53.76847508,-1.556463502,Health and beauty spas,204
Scott Hall Emergency Respite Centre,53.82438021,-1.547066472,"IDs, licenses, and passports",205
Shannon House,53.8310751,-1.60378408,Importing and exporting,206
Shepherds Lane Early Years Centre,53.81468427,-1.51960221,Information retrieval services,207
Leeds Town Hall,53.80014278,-1.549834137,Landscaping and horticultural,208
Merrion House,53.80266028,-1.545121551,Legal services and attorneys,209
